MÊS_SEP,ANO_SEP,ETANOL HIDRATADO,GASOLINA COMUM,OLEO DIESEL,RAZAO_ETANOL_GASOLINA,% RAZAO ETANOL_GASOLINA
1,2013,1.956,2.763,2.156,0.7079261672095548,70.79261672095548
1,2014,2.047,2.956,2.485,0.692489851150203,69.2489851150203
1,2015,2.061,3.032,2.611,0.6797493403693932,67.97493403693932
1,2016,2.718,3.676,3.003,0.7393906420021762,73.93906420021762
1,2017,2.91,3.768,3.092,0.7722929936305734,77.22929936305734
1,2018,2.984,4.189,3.375,0.7123418476963476,71.23418476963475
1,2019,2.812,4.268,3.437,0.6588566073102156,65.88566073102156
1,2020,3.226,4.579,3.788,0.7045206376938197,70.45206376938197
1,2021,3.221,4.622,3.696,0.6968844655993077,69.68844655993077
1,2022,5.038,6.635,5.497,0.7593067068575735,75.93067068575735
1,2023,3.88,5.05,6.33,0.7683168316831683,76.83168316831683
1,2024,3.42,5.57,5.86,0.6140035906642728,61.40035906642728
1,2025,4.21,6.18,6.08,0.6812297734627832,68.12297734627832
2,2013,2.0,2.887,2.252,0.6927606511950121,69.27606511950121
2,2014,2.074,2.955,2.491,0.7018612521150591,70.18612521150591
2,2015,2.224,3.301,2.788,0.6737352317479552,67.37352317479552
2,2016,2.808,3.71,3.017,0.7568733153638814,75.68733153638814
2,2017,2.884,3.755,3.098,0.7680426098535286,76.80426098535285
2,2018,3.023,4.208,3.388,0.718393536121673,71.8393536121673
2,2019,2.783,4.19,3.453,0.6642004773269689,66.42004773269689
2,2020,3.248,4.55,3.714,0.7138461538461539,71.38461538461539
2,2021,3.429,4.951,3.951,0.6925873560896789,69.2587356089679
2,2022,4.744,6.6,5.592,0.7187878787878788,71.87878787878788
2,2023,3.8,5.09,6.06,0.7465618860510805,74.65618860510806
2,2024,3.57,5.75,5.9,0.6208695652173912,62.086956521739125
2,2025,4.38,6.36,6.38,0.6886792452830188,68.86792452830188
3,2013,2.058,2.886,2.301,0.713097713097713,71.30977130977129
3,2014,2.168,2.98,2.497,0.72751677852349,72.75167785234899
3,2015,2.226,3.323,2.81,0.6698766175142943,66.98766175142943
3,2016,2.869,3.73,3.02,0.7691689008042896,76.91689008042896
3,2017,2.745,3.687,3.05,0.7445077298616762,74.45077298616762
3,2018,3.032,4.199,3.383,0.7220766849249822,72.20766849249823
3,2019,2.95,4.305,3.53,0.6852497096399536,68.52497096399536
3,2020,3.196,4.462,3.574,0.7162707306140745,71.62707306140746
3,2021,4.038,5.484,4.252,0.7363238512035012,73.63238512035012
3,2022,4.842,7.012,6.288,0.690530519110097,69.0530519110097
3,2023,3.93,5.52,5.88,0.7119565217391305,71.19565217391305
3,2024,3.58,5.74,5.86,0.6236933797909407,62.36933797909408
3,2025,4.35,6.34,6.35,0.6861198738170347,68.61198738170347
4,2013,2.064,2.876,2.332,0.717663421418637,71.7663421418637
4,2014,2.177,2.988,2.502,0.7285809906291835,72.85809906291834
4,2015,2.179,3.308,2.809,0.6587061668681983,65.87061668681983
4,2016,2.741,3.717,3.021,0.73742265267689,73.742265267689
4,2017,2.639,3.635,3.015,0.7259972489683632,72.59972489683632
4,2018,2.972,4.215,3.432,0.7051008303677343,70.51008303677342
4,2019,3.002,4.437,3.573,0.6765832769889564,67.65832769889563
4,2020,2.784,4.066,3.293,0.6847024102311854,68.47024102311853
4,2021,3.826,5.448,4.202,0.7022760646108663,70.22760646108664
4,2022,5.326,7.245,6.602,0.735127674258109,73.51276742581089
4,2023,3.97,5.51,5.76,0.7205081669691471,72.05081669691471
4,2024,3.78,5.8,5.88,0.6517241379310345,65.17241379310344
4,2025,4.31,6.32,6.22,0.6819620253164556,68.19620253164555
5,2013,2.029,2.862,2.333,0.7089447938504542,70.89447938504541
5,2014,2.134,2.978,2.5,0.7165883143049026,71.65883143049025
5,2015,2.141,3.299,2.808,0.6489845407699303,64.89845407699303
5,2016,2.478,3.674,3.017,0.6744692433315188,67.44692433315188
5,2017,2.584,3.617,3.017,0.7144042023776611,71.4404202377661
5,2018,2.811,4.314,3.629,0.6515994436717664,65.15994436717664
5,2019,2.99,4.552,3.649,0.6568541300527242,65.68541300527242
5,2020,2.55,3.818,3.037,0.6678889470927186,66.78889470927186
5,2021,4.25,5.604,4.47,0.7583868665239115,75.83868665239115
5,2022,5.27,7.28,6.84,0.7239010989010988,72.39010989010988
5,2023,3.97,5.39,5.37,0.7365491651205938,73.65491651205937
