MÊS,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,COEF DE VARIAÇÃO REVENDA,ANO_SEP,MÊS_SEP
2020-04-01,ETANOL HIDRATADO,22941,R$/l,2.784,0.564,1.859,4.999,0.203,2020,4
2020-04-01,GASOLINA COMUM,25947,R$/l,4.066,0.341,2.92,5.889,0.084,2020,4
2020-04-01,OLEO DIESEL,13745,R$/l,3.293,0.271,2.453,4.95,0.082,2020,4
2020-05-01,ETANOL HIDRATADO,20575,R$/l,2.55,0.564,1.799,4.999,0.221,2020,5
2020-05-01,GASOLINA COMUM,23056,R$/l,3.818,0.314,2.87,5.69,0.082,2020,5
2020-05-01,OLEO DIESEL,12070,R$/l,3.037,0.271,2.459,4.95,0.089,2020,5
2020-06-01,ETANOL HIDRATADO,23397,R$/l,2.655,0.504,1.969,4.999,0.19,2020,6
2020-06-01,GASOLINA COMUM,26187,R$/l,3.964,0.301,2.99,5.69,0.076,2020,6
2020-06-01,OLEO DIESEL,13668,R$/l,3.064,0.247,2.49,4.95,0.081,2020,6
2020-07-01,ETANOL HIDRATADO,22862,R$/l,2.739,0.49,2.099,4.999,0.179,2020,7
2020-07-01,GASOLINA COMUM,25641,R$/l,4.144,0.294,3.259,5.69,0.071,2020,7
2020-07-01,OLEO DIESEL,13533,R$/l,3.249,0.239,2.54,4.95,0.074,2020,7
2020-08-01,ETANOL HIDRATADO,15169,R$/l,2.768,0.486,2.079,4.94,0.176,2020,8
2020-08-01,GASOLINA COMUM,17042,R$/l,4.237,0.3,3.37,5.69,0.071,2020,8
2020-08-01,OLEO DIESEL,8952,R$/l,3.358,0.231,2.729,4.95,0.069,2020,8
2020-10-01,ETANOL HIDRATADO,2093,R$/l,3.006,0.372,2.499,4.499,0.124,2020,10
2020-10-01,GASOLINA COMUM,2350,R$/l,4.358,0.308,3.64,5.199,0.071,2020,10
2020-10-01,OLEO DIESEL,681,R$/l,3.454,0.289,2.879,4.65,0.084,2020,10
2020-11-01,ETANOL HIDRATADO,7309,R$/l,3.103,0.406,2.499,5.149,0.131,2020,11
2020-11-01,GASOLINA COMUM,7996,R$/l,4.406,0.31,3.59,5.499,0.07,2020,11
2020-11-01,OLEO DIESEL,2703,R$/l,3.514,0.255,2.949,5.09,0.073,2020,11
2020-12-01,ETANOL HIDRATADO,9816,R$/l,3.179,0.407,2.299,5.149,0.128,2020,12
2020-12-01,GASOLINA COMUM,10805,R$/l,4.483,0.303,3.65,5.499,0.068,2020,12
2020-12-01,OLEO DIESEL,3868,R$/l,3.606,0.237,3.09,4.8,0.066,2020,12
2021-01-01,ETANOL HIDRATADO,9638,R$/l,3.221,0.407,2.479,5.295,0.126,2021,1
2021-01-01,GASOLINA COMUM,10748,R$/l,4.622,0.294,3.099,5.95,0.064,2021,1
2021-01-01,OLEO DIESEL,4106,R$/l,3.696,0.232,3.199,5.25,0.063,2021,1
2021-02-01,ETANOL HIDRATADO,10201,R$/l,3.429,0.442,2.05,5.499,0.129,2021,2
