MÊS,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,COEF DE VARIAÇÃO REVENDA,ANO_SEP,MÊS_SEP
2013-01-01,ETANOL HIDRATADO,39584,R$/l,1.956,0.244,1.479,3.12,0.125,2013,1
2013-01-01,GASOLINA COMUM,41990,R$/l,2.763,0.148,2.229,3.899,0.054,2013,1
2013-01-01,OLEO DIESEL,32749,R$/l,2.156,0.114,1.869,2.95,0.053,2013,1
2013-02-01,ETANOL HIDRATADO,32570,R$/l,2.0,0.239,1.48,3.15,0.12,2013,2
2013-02-01,GASOLINA COMUM,34664,R$/l,2.887,0.146,2.39,3.899,0.051,2013,2
2013-02-01,OLEO DIESEL,26614,R$/l,2.252,0.114,1.949,2.98,0.051,2013,2
2013-03-01,ETANOL HIDRATADO,32591,R$/l,2.058,0.23,1.58,3.15,0.112,2013,3
2013-03-01,GASOLINA COMUM,34663,R$/l,2.886,0.148,2.44,3.939,0.051,2013,3
2013-03-01,OLEO DIESEL,26438,R$/l,2.301,0.118,1.949,2.99,0.051,2013,3
2013-04-01,ETANOL HIDRATADO,36797,R$/l,2.064,0.238,1.58,3.16,0.115,2013,4
2013-04-01,GASOLINA COMUM,39290,R$/l,2.876,0.152,2.39,3.939,0.053,2013,4
2013-04-01,OLEO DIESEL,29656,R$/l,2.332,0.114,1.899,3.02,0.049,2013,4
2013-05-01,ETANOL HIDRATADO,36036,R$/l,2.029,0.261,1.389,3.16,0.129,2013,5
2013-05-01,GASOLINA COMUM,38624,R$/l,2.862,0.16,2.329,3.929,0.056,2013,5
2013-05-01,OLEO DIESEL,28753,R$/l,2.333,0.114,1.969,3.06,0.049,2013,5
2013-06-01,ETANOL HIDRATADO,32257,R$/l,1.943,0.297,1.29,3.16,0.153,2013,6
2013-06-01,GASOLINA COMUM,34590,R$/l,2.848,0.168,2.309,3.699,0.059,2013,6
2013-06-01,OLEO DIESEL,25620,R$/l,2.333,0.115,1.949,3.06,0.049,2013,6
2013-07-01,ETANOL HIDRATADO,39298,R$/l,1.918,0.301,1.29,3.12,0.157,2013,7
2013-07-01,GASOLINA COMUM,42206,R$/l,2.839,0.17,2.255,3.699,0.06,2013,7
2013-07-01,OLEO DIESEL,31274,R$/l,2.333,0.115,1.969,3.06,0.049,2013,7
2013-08-01,ETANOL HIDRATADO,33169,R$/l,1.902,0.303,1.259,3.12,0.159,2013,8
2013-08-01,GASOLINA COMUM,35609,R$/l,2.835,0.169,2.349,3.699,0.06,2013,8
2013-08-01,OLEO DIESEL,26091,R$/l,2.331,0.115,1.989,3.06,0.049,2013,8
2013-09-01,ETANOL HIDRATADO,34648,R$/l,1.895,0.302,1.279,3.02,0.159,2013,9
2013-09-01,GASOLINA COMUM,37335,R$/l,2.834,0.168,2.37,3.699,0.059,2013,9
2013-09-01,OLEO DIESEL,27230,R$/l,2.331,0.116,1.989,3.06,0.05,2013,9
2013-10-01,ETANOL HIDRATADO,37563,R$/l,1.914,0.289,1.396,2.999,0.151,2013,10
2013-10-01,GASOLINA COMUM,40480,R$/l,2.834,0.169,2.35,3.699,0.06,2013,10
2013-10-01,OLEO DIESEL,29298,R$/l,2.332,0.117,1.949,3.06,0.05,2013,10
2013-11-01,ETANOL HIDRATADO,32090,R$/l,1.932,0.282,1.379,2.999,0.146,2013,11
2013-11-01,GASOLINA COMUM,34574,R$/l,2.841,0.166,2.33,3.99,0.058,2013,11
2013-11-01,OLEO DIESEL,24764,R$/l,2.332,0.117,1.989,3.06,0.05,2013,11
2013-12-01,ETANOL HIDRATADO,36734,R$/l,2.022,0.252,1.579,3.028,0.125,2013,12
2013-12-01,GASOLINA COMUM,39688,R$/l,2.946,0.155,2.419,4.079,0.053,2013,12
2013-12-01,OLEO DIESEL,28394,R$/l,2.466,0.126,2.036,3.27,0.051,2013,12
2014-01-01,ETANOL HIDRATADO,35088,R$/l,2.047,0.249,1.555,3.02,0.122,2014,1
2014-01-01,GASOLINA COMUM,38021,R$/l,2.956,0.156,2.528,4.099,0.053,2014,1
2014-01-01,OLEO DIESEL,26880,R$/l,2.485,0.126,2.099,3.31,0.051,2014,1
2014-02-01,ETANOL HIDRATADO,31777,R$/l,2.074,0.242,1.599,3.15,0.117,2014,2
2014-02-01,GASOLINA COMUM,34536,R$/l,2.955,0.158,2.499,4.159,0.053,2014,2
2014-02-01,OLEO DIESEL,24397,R$/l,2.491,0.126,2.149,3.31,0.051,2014,2
2014-03-01,ETANOL HIDRATADO,33549,R$/l,2.168,0.222,1.769,3.15,0.102,2014,3
2014-03-01,GASOLINA COMUM,36567,R$/l,2.98,0.15,2.499,4.159,0.05,2014,3
2014-03-01,OLEO DIESEL,25621,R$/l,2.497,0.126,2.145,3.31,0.05,2014,3
2014-04-01,ETANOL HIDRATADO,37283,R$/l,2.177,0.24,1.499,3.17,0.11,2014,4
2014-04-01,GASOLINA COMUM,40925,R$/l,2.988,0.152,2.49,4.159,0.051,2014,4
2014-04-01,OLEO DIESEL,28234,R$/l,2.502,0.129,2.12,3.31,0.052,2014,4
2014-05-01,ETANOL HIDRATADO,31337,R$/l,2.134,0.267,1.51,3.17,0.125,2014,5
2014-05-01,GASOLINA COMUM,34438,R$/l,2.978,0.157,2.1,4.159,0.053,2014,5
2014-05-01,OLEO DIESEL,23865,R$/l,2.5,0.129,2.15,3.31,0.052,2014,5
2014-06-01,ETANOL HIDRATADO,33237,R$/l,2.071,0.294,1.549,3.17,0.142,2014,6
2014-06-01,GASOLINA COMUM,36480,R$/l,2.966,0.163,2.499,4.159,0.055,2014,6
2014-06-01,OLEO DIESEL,25010,R$/l,2.5,0.128,2.149,3.31,0.051,2014,6
2014-07-01,ETANOL HIDRATADO,37356,R$/l,2.042,0.299,1.559,3.2,0.146,2014,7
2014-07-01,GASOLINA COMUM,40985,R$/l,2.957,0.171,2.488,4.169,0.058,2014,7
2014-07-01,OLEO DIESEL,27942,R$/l,2.499,0.13,2.15,3.31,0.052,2014,7
2014-08-01,ETANOL HIDRATADO,31294,R$/l,2.034,0.302,1.559,3.2,0.148,2014,8
2014-08-01,GASOLINA COMUM,34448,R$/l,2.96,0.169,2.488,4.169,0.057,2014,8
2014-08-01,OLEO DIESEL,23265,R$/l,2.501,0.13,2.15,3.31,0.052,2014,8
2014-09-01,ETANOL HIDRATADO,35737,R$/l,2.005,0.305,1.499,3.2,0.152,2014,9
2014-09-01,GASOLINA COMUM,39519,R$/l,2.963,0.165,2.499,4.169,0.056,2014,9
2014-09-01,OLEO DIESEL,26629,R$/l,2.501,0.13,2.19,3.31,0.052,2014,9
2014-10-01,ETANOL HIDRATADO,34305,R$/l,1.999,0.308,1.47,3.17,0.154,2014,10
2014-10-01,GASOLINA COMUM,37883,R$/l,2.96,0.166,2.45,4.159,0.056,2014,10
2014-10-01,OLEO DIESEL,25424,R$/l,2.5,0.131,2.19,3.31,0.052,2014,10
2014-11-01,ETANOL HIDRATADO,31032,R$/l,2.016,0.303,1.47,3.43,0.15,2014,11
2014-11-01,GASOLINA COMUM,34316,R$/l,3.009,0.17,2.45,4.369,0.056,2014,11
2014-11-01,OLEO DIESEL,22960,R$/l,2.564,0.142,2.199,3.44,0.055,2014,11
2014-12-01,ETANOL HIDRATADO,38670,R$/l,2.041,0.292,1.599,3.328,0.143,2014,12
2014-12-01,GASOLINA COMUM,42745,R$/l,3.031,0.171,2.499,4.299,0.056,2014,12
2014-12-01,OLEO DIESEL,28340,R$/l,2.606,0.135,2.199,3.46,0.052,2014,12
2015-01-01,ETANOL HIDRATADO,31032,R$/l,2.061,0.286,1.599,3.32,0.139,2015,1
2015-01-01,GASOLINA COMUM,34414,R$/l,3.032,0.171,2.499,4.299,0.056,2015,1
2015-01-01,OLEO DIESEL,22914,R$/l,2.611,0.137,2.13,3.46,0.052,2015,1
2015-02-01,ETANOL HIDRATADO,30770,R$/l,2.224,0.267,1.63,3.61,0.12,2015,2
2015-02-01,GASOLINA COMUM,34078,R$/l,3.301,0.187,2.35,4.52,0.057,2015,2
2015-02-01,OLEO DIESEL,22554,R$/l,2.788,0.154,2.199,3.74,0.055,2015,2
2015-03-01,ETANOL HIDRATADO,35541,R$/l,2.226,0.276,1.65,3.61,0.124,2015,3
2015-03-01,GASOLINA COMUM,39073,R$/l,3.323,0.186,2.749,4.529,0.056,2015,3
2015-03-01,OLEO DIESEL,25823,R$/l,2.81,0.147,2.299,3.7,0.052,2015,3
2015-04-01,ETANOL HIDRATADO,33790,R$/l,2.179,0.296,1.649,3.61,0.136,2015,4
2015-04-01,GASOLINA COMUM,37269,R$/l,3.308,0.2,2.749,4.529,0.06,2015,4
2015-04-01,OLEO DIESEL,24373,R$/l,2.809,0.147,2.349,3.7,0.052,2015,4
2015-05-01,ETANOL HIDRATADO,30876,R$/l,2.141,0.309,1.579,3.61,0.144,2015,5
2015-05-01,GASOLINA COMUM,33871,R$/l,3.299,0.205,2.749,4.519,0.062,2015,5
2015-05-01,OLEO DIESEL,22157,R$/l,2.808,0.147,2.419,3.7,0.052,2015,5
2015-06-01,ETANOL HIDRATADO,36073,R$/l,2.112,0.32,1.579,3.61,0.152,2015,6
2015-06-01,GASOLINA COMUM,39539,R$/l,3.301,0.203,2.719,4.519,0.061,2015,6
2015-06-01,OLEO DIESEL,25964,R$/l,2.807,0.147,2.45,3.7,0.052,2015,6
2015-07-01,ETANOL HIDRATADO,33344,R$/l,2.081,0.334,1.479,3.61,0.16,2015,7
2015-07-01,GASOLINA COMUM,36463,R$/l,3.296,0.208,2.719,4.519,0.063,2015,7
2015-07-01,OLEO DIESEL,23492,R$/l,2.805,0.145,2.44,3.7,0.052,2015,7
2015-08-01,ETANOL HIDRATADO,19054,R$/l,2.061,0.345,1.467,3.61,0.167,2015,8
2015-08-01,GASOLINA COMUM,20698,R$/l,3.295,0.21,2.749,4.519,0.064,2015,8
2015-08-01,OLEO DIESEL,13157,R$/l,2.805,0.146,2.45,3.7,0.052,2015,8
2015-09-01,ETANOL HIDRATADO,12475,R$/l,2.074,0.336,1.39,3.61,0.162,2015,9
2015-09-01,GASOLINA COMUM,13475,R$/l,3.277,0.201,2.749,4.16,0.061,2015,9
2015-09-01,OLEO DIESEL,7915,R$/l,2.809,0.153,2.48,3.64,0.054,2015,9
2015-10-01,ETANOL HIDRATADO,13086,R$/l,2.365,0.272,1.67,3.79,0.115,2015,10
2015-10-01,GASOLINA COMUM,14226,R$/l,3.48,0.202,2.899,4.55,0.058,2015,10
2015-10-01,OLEO DIESEL,8633,R$/l,2.925,0.162,2.51,3.99,0.055,2015,10
2015-11-01,ETANOL HIDRATADO,16338,R$/l,2.578,0.271,1.89,3.8,0.105,2015,11
2015-11-01,GASOLINA COMUM,17843,R$/l,3.576,0.199,2.959,4.8,0.056,2015,11
2015-11-01,OLEO DIESEL,11193,R$/l,2.965,0.161,2.499,3.98,0.054,2015,11
